Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
211,155000000,104386950,418186950,104386950,313800000,418186950,34625611,11497883,46123494,24005069,4.35,142502135,115
212,155000000,100916094,470116094,100916094,369200000,470116094,13340330,22933626,36273956,32200000,3.13,106969078,113
213,155000000,89760956,432150894,89760956,342389938,432150894,9092269,17603060,26695329,27018486,3.32,114783284,126
214,155000000,59874525,290930148,59874525,231055623,290930148,5501205,11181002,16682207,28116535,2.13,70850429,111
215,155000000,34297191,167297191,34297191,133000000,167297191,,,,13687087,2.51,59520746,175
216,152000000,146880162,489592267,146880162,342712105,489592267,7848369,14740735,22589104,56262929,2.61,176518188,142
217,151500000,198539855,449239853,198539855,250699998,449239853,,,,59078912,3.36,378137735,182
218,151000000,636785476,1447585476,636785476,810800000,1447585476,1361240,2951677,4312917,162022044,3.93,636785477,114
219,151000000,319246193,708272592,319246193,389026399,708272592,295604302,8123249,303727551,70502384,4.53,500214228,142
220,150000000,477373578,1451653316,477373578,974279738,1451653316,29336018,52142631,81478649,130263358,3.66,561730837,103
221,150000000,450182382,1026162434,450182382,575980052,1026162434,,,,139787385,3.22,450182382,100
222,150000000,412563408,817691766,412563408,405128358,817691766,25947796,72886279,98834075,103251471,4,495811989,141
223,150000000,400953009,1271023300,400953009,870070291,1271023300,253125424,163974026,417099450,243390,5.95,530936873,102
224,150000000,341268248,1025485003,341268248,684216755,1025485003,57621663,54244925,111866588,75063401,4.55,425303081,108
225,150000000,293108509,937970397,293108509,644861888,937970397,231487995,5291580,236779575,77108414,3.8,459024150,138
226,150000000,291147424,886123994,291147424,594976570,886123994,222398152,6237064,228635216,102685961,2.84,488719870,150
227,150000000,281553689,738576929,281553689,457023240,738576929,,,,91774413,3.07,503341420,138
228,150000000,256393010,585532684,256393010,329139674,585532684,131213338,4837581,136050919,77211321,3.32,398441445,100
229,150000000,248757044,684654985,248757044,435897941,684654985,51030874,96125817,147156691,56631401,4.39,308290601,113
230,150000000,227946274,624234272,227946274,396287998,624234272,92102777,890713,92993490,62603879,3.64,342236875,92
231,150000000,224543292,432224634,224543292,207681342,432224634,4558512,9910557,14469069,75388688,2.98,238011469,132
232,150000000,206459076,475825484,206459076,269366408,475825484,,,,56178450,3.68,347211985,115
233,150000000,206445654,626549695,206445654,420104041,626549695,217081255,,217081255,47027395,4.39,323471525,110
234,150000000,206362140,644602516,206362140,438240376,644602516,44600194,49439893,94040087,85737841,2.41,273607633,111
235,150000000,205343774,356770593,205343774,151426819,356770593,,,,48745440,4.21,345336330,140
236,150000000,195042377,688858992,195042377,493816615,688858992,11537272,16400242,27937514,55520089,3.51,249413615,131
237,150000000,190068280,509736928,190068280,319668648,509736928,13245730,21582017,34827747,50513488,3.76,228389651,107
238,150000000,181030624,449326618,181030624,268295994,449326618,35340939,60264661,95605600,65723338,2.75,246092071,113
239,150000000,180174880,599680774,180174880,419505894,599680774,113207196,2305873,115513069,63106589,2.86,270310958,89
240,150000000,179883157,374825760,179883157,194942603,374825760,80223242,32766358,112989600,85058003,2.11,258552058,107
241,150000000,177243721,402231063,177243721,224987342,402231063,54781178,11372577,66153755,54173286,3.27,254758307,105
242,150000000,165249063,664837547,165249063,499588484,664837547,37735102,20962438,58697540,47656302,3.47,224638696,90
243,150000000,154363726,380463726,154363726,226100000,380463726,20832353,35686495,56518848,45428128,3.4,197358149,120
244,150000000,144105346,428919826,144105346,284814480,428919826,18081646,21790443,39872089,54365242,2.65,169591230,104
245,150000000,139270910,427300260,139270910,288029350,427300260,,,,48475154,2.87,248927901,129
246,150000000,137690172,579055653,137690172,441365481,579055653,6685611,24262654,30948265,41769050,3.3,162930850,140
247,150000000,135386665,310043823,135386665,174657158,310043823,142727019,,142727019,40049778,3.38,227562426,82
248,150000000,133501348,399387745,133501348,265886397,399387745,49944710,1778002,51722712,47743273,2.8,219716720,126
249,150000000,133375846,490875846,133375846,357500000,490875846,36759534,13529456,50288990,46204168,2.89,191705548,138
250,150000000,133298577,483152040,133298577,349853463,483152040,,,,46865412,2.84,231394306,162
